#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
SLC6A5	11	+	20620945	20680831	20620945,20622674,20625831,20628552,20629024,20636224,20639297,20648253,20649525,20652236,20657852,20658717,20660004,20668379,20673834,20676258,	20621221,20623211,20625970,20628684,20629198,20636366,20639430,20648388,20649629,20652361,20657965,20658849,20660104,20668480,20674002,20680831,
NELL1	11	+	20691117	21597005	20691117,20699477,20805225,20869128,20906989,20939727,20940797,20948853,20949922,20959331,20968881,20981977,21135134,21250877,21392398,21555919,21581734,21592309,21594730,21596517,	20691324,20699606,20805376,20869299,20907086,20939800,20940880,20948988,20950025,20959405,20968981,20982106,21135260,21251000,21392494,21556060,21581928,21592486,21594955,21597005,
ANO5	11	+	22214721	22304903	22214721,22225349,22232809,22239791,22242642,22247529,22248847,22257708,22261114,22271782,22272286,22272496,22276916,22279225,22281064,22283674,22284491,22291857,22294329,22296114,22297639,22301089,	22215078,22225396,22232860,22239833,22242756,22247598,22249132,22257822,22261230,22271917,22272392,22272557,22277068,22279300,22281287,22283844,22284589,22291988,22294535,22296293,22297745,22304903,
SLC17A6	11	+	22359642	22401049	22359642,22363073,22364792,22380958,22382442,22384284,22387092,22391584,22396300,22397527,22398090,22398950,	22360165,22363326,22364911,22381073,22382530,22384371,22387235,22391734,22396433,22397638,22398218,22401049,
FANCF	11	-	22644064	22648333	22644064,	22648333,
AC103801.2	11	+	22646859	22647369	22646859,	22647369,
GAS2	11	+	22688160	22834601	22688160,22696395,22707213,22747837,22759250,22770665,22777391,22833343,	22688445,22696560,22707335,22747979,22759314,22770807,22777499,22834601,
SVIP	11	-	22840474	22851411	22840474,22848752,22849369,22851240,	22844679,22848866,22849420,22851411,
CCDC179	11	-	22868476	22881972	22868476,22879467,22880997,22881922,	22869067,22879572,22881042,22881972,
LUZP2	11	+	24518723	25102650	24518723,24750714,24753663,24759766,24784791,24927536,24936021,24998136,25004671,25071583,25098874,25100099,	24518851,24750832,24753734,24759848,24784854,24927599,24936084,24998211,25004839,25071676,25098952,25102650,
ANO3	11	+	26352970	26684835	26352970,26463464,26465311,26484576,26529650,26538373,26547181,26552751,26556002,26558952,26563493,26568962,26574795,26581265,26619911,26620404,26621096,26646008,26655750,26656559,26660690,26663442,26664728,26669255,26677671,26677922,26681808,	26353868,26463659,26465383,26484695,26529809,26538474,26547226,26552883,26556109,26559008,26563615,26569097,26574892,26581326,26619994,26620545,26621261,26646045,26655862,26656617,26660788,26663576,26664881,26669403,26677752,26678028,26684835,
MUC15	11	-	26580579	26593668	26580579,26584662,26586711,26593587,	26582772,26584812,26587443,26593668,
SLC5A12	11	-	26688565	26743571	26688565,26694948,26700258,26702601,26705303,26708023,26714035,26718710,26719952,26725077,26725339,26730858,26732853,26734187,26742922,	26692798,26695076,26700362,26702768,26705390,26708091,26714148,26718799,26720082,26725218,26725494,26730926,26732905,26734253,26743571,
FIBIN	11	+	27015730	27017668	27015730,	27017668,
BBOX1	11	+	27062271	27149222	27062271,27076942,27078747,27114714,27136998,27141195,27147200,27148839,	27062575,27077196,27078862,27114913,27137104,27141392,27147367,27149222,
CCDC34	11	-	27370415	27384781	27370415,27378949,27384382,	27371986,27379088,27384781,
LGR4	11	-	27387507	27494293	27387507,27393161,27393829,27395097,27395521,27397845,27398704,27400243,27401817,27402186,27402441,27403734,27405882,27406799,27412640,27413993,27434335,27493664,	27390690,27393245,27393945,27395223,27395593,27397917,27398770,27400315,27401886,27402258,27402513,27403803,27405954,27407015,27412712,27414065,27434407,27494293,
LIN7C	11	-	27516122	27528320	27516122,27520905,27523041,27523348,27528262,	27520351,27521115,27523113,27523467,27528320,
BDNF	11	-	27676439	27681205	27676439,27680366,	27680132,27681205,
KIF18A	11	-	28042166	28129855	28042166,28045287,28056933,28057763,28080472,28083941,28090805,28098553,28104402,28104715,28106178,28110070,28112163,28112955,28116189,28119169,28129610,	28042829,28045397,28057041,28058211,28080708,28084063,28090970,28098716,28104515,28104790,28106355,28110268,28112274,28113060,28116347,28119540,28129855,
METTL15	11	+	28129900	28355054	28129900,28131712,28134864,28232608,28311752,28318299,28351942,	28129999,28131948,28135151,28232745,28311944,28318478,28355054,
KCNA4	11	-	30031287	30038570	30031287,30038118,	30035007,30038570,
FSHB	11	+	30252562	30256586	30252562,30253443,30255116,	30252625,30253608,30256586,
ARL14EP	11	+	30344597	30359774	30344597,30352432,30354412,30358113,	30344749,30352921,30354540,30359774,
MPPED2	11	-	30431617	30602043	30431617,30435774,30439064,30516842,30557540,30601792,	30433133,30435888,30439180,30517068,30557722,30602043,
DCDC1	11	-	31284170	31391321	31284170,31287053,31312193,31327161,31327778,31329185,31349663,31356993,31391243,	31284620,31287147,31312399,31327324,31327935,31329455,31349833,31357111,31391321,
DNAJC24	11	+	31391386	31453396	31391386,31392262,31436357,31447833,31451817,	31391459,31392406,31436496,31447902,31453396,
IMMP1L	11	-	31453947	31531121	31453947,31455006,31477806,31482172,31484718,31531065,	31454115,31455117,31477933,31482261,31484852,31531121,
ELP4	11	+	31531296	31805546	31531296,31541602,31561208,31616316,31625314,31648656,31653763,31669288,31671662,31804940,	31531554,31541638,31561330,31616448,31625454,31648741,31653952,31669397,31671769,31805546,
PAX6	11	-	31810457	31839509	31810457,31812257,31814985,31815199,31815579,31816177,31822238,31823108,31824251,31827949,31828396,31839356,	31811567,31812408,31815101,31815350,31815662,31816336,31822404,31823324,31824382,31828010,31828473,31839509,
RCN1	11	+	32112449	32127301	32112449,32118689,32119895,32122093,32124826,32125910,	32112996,32118883,32120074,32122154,32125026,32127301,
WT1	11	-	32409320	32457176	32409320,32413517,32414211,32417802,32421493,32438035,32439122,32449501,32450042,32456245,	32410725,32413610,32414301,32417953,32421590,32438086,32439200,32449604,32450165,32457176,
EIF3M	11	+	32605370	32627808	32605370,32608557,32610139,32610557,32611092,32615411,32616459,32617511,32622234,32623307,32623824,	32605475,32608690,32610278,32610681,32611187,32615495,32616559,32617593,32622378,32623368,32627808,
CCDC73	11	-	32623791	32816187	32623791,32632677,32634967,32637485,32657241,32663517,32674668,32675523,32676389,32697110,32697431,32705081,32720796,32722336,32724418,32739621,32781654,32816158,	32624566,32632811,32636488,32637675,32657376,32663628,32674773,32675583,32676518,32697190,32697567,32705120,32720871,32722372,32724490,32739693,32781804,32816187,
PRRG4	11	+	32851488	32879669	32851488,32852053,32858203,32860427,32861652,32874841,	32851719,32852178,32858367,32860476,32861785,32879669,
QSER1	11	+	32914723	33001812	32914723,32948702,32949507,32953288,32975402,32976841,32977533,32979414,32987845,32990591,32994942,32996793,32997879,	32914880,32948815,32949669,32956981,32975725,32976958,32977667,32979632,32987983,32990689,32995095,32996889,33001812,
DEPDC7	11	+	33037409	33055128	33037409,33047204,33049231,33050148,33052923,33053881,33054213,33054434,33054807,	33037574,33047595,33049359,33050338,33053135,33054024,33054339,33054513,33055128,
TCP11L1	11	+	33060962	33095109	33060962,33065295,33076138,33078660,33079464,33080504,33083075,33087375,33090232,33094019,	33061338,33065482,33076271,33078781,33079685,33080641,33083272,33087557,33090405,33095109,
CSTF3	11	-	33106129	33183011	33106129,33107258,33107440,33108533,33112077,33113816,33117851,33118380,33120235,33120579,33121153,33123722,33124652,33127112,33127428,33127543,33129448,33129931,33163212,33163430,33182844,	33106835,33107319,33107535,33108687,33112273,33113886,33117954,33118524,33120310,33120696,33121263,33123885,33124730,33127239,33127463,33127610,33129546,33129964,33163308,33163532,33183011,
HIPK3	11	+	33278217	33375114	33278217,33307958,33350055,33358620,33360302,33360895,33362513,33363108,33368838,33369174,33369397,33370067,33370692,33373153,33373683,33374637,	33278298,33309057,33350179,33358740,33360389,33361080,33362673,33363232,33368960,33369299,33369559,33370364,33370833,33373389,33373811,33375114,
KIAA1549L	11	+	33563820	33695648	33563820,33566312,33569309,33572585,33573653,33581294,33583221,33589621,33596247,33604883,33612782,33620365,33628186,33631294,33640078,33667231,33677557,33680295,33682408,33689418,	33565882,33566924,33569425,33572805,33573787,33581457,33583281,33589773,33596419,33605047,33612967,33620493,33628368,33631512,33640208,33667582,33677655,33680444,33682560,33695648,
C11orf91	11	-	33719806	33722347	33719806,33721790,	33720060,33722347,
CD59	11	-	33730245	33757985	33730245,33738915,33743924,33757927,	33731889,33739017,33744009,33757985,
FBXO3	11	-	33762491	33796062	33762491,33768675,33770322,33772084,33773068,33776000,33777316,33780032,33790396,33792286,33795939,	33763630,33768866,33770438,33772207,33773153,33776046,33777521,33780147,33790560,33792376,33796062,
LMO2	11	-	33880121	33891362	33880121,33886147,33890891,	33881121,33886363,33891362,
CAPRIN1	11	+	34073229	34122703	34073229,34073967,34093272,34093447,34097782,34098106,34101174,34104371,34104501,34107610,34107851,34110941,34111725,34112075,34113452,34118025,34118742,34119244,34120849,	34073418,34074183,34093335,34093534,34098021,34098189,34101312,34104424,34104588,34107766,34107960,34111003,34111836,34112225,34113603,34118220,34118843,34119308,34122703,
NAT10	11	+	34127148	34168457	34127148,34129757,34130288,34133598,34135262,34137369,34139726,34139942,34144005,34145308,34145848,34149009,34152359,34152927,34153671,34154572,34155865,34156058,34156721,34158188,34158524,34160737,34160931,34161946,34162635,34163265,34163821,34164991,34167630,	34127339,34129880,34130380,34133770,34135385,34137431,34139841,34140050,34144139,34145402,34145947,34149146,34152484,34153078,34153768,34154689,34155967,34156133,34156838,34158322,34158573,34160834,34161042,34162119,34162755,34163364,34163895,34165075,34168457,
ABTB2	11	-	34172534	34379555	34172534,34175811,34176247,34180842,34181452,34181794,34182449,34184122,34186232,34186806,34188805,34189449,34192452,34194701,34218871,34226090,34378247,	34174131,34175925,34176316,34180933,34181555,34181900,34182628,34184352,34186368,34186903,34188907,34189539,34192618,34194854,34219085,34226237,34379555,
CAT	11	+	34460471	34493609	34460471,34470738,34472534,34473623,34474636,34475347,34477557,34478211,34482797,34485651,34489834,34492504,34492914,	34460626,34470910,34472645,34473754,34474741,34475473,34477749,34478364,34482936,34485782,34489942,34492588,34493609,
ELF5	11	-	34500339	34535347	34500339,34502318,34503977,34511555,34515025,34527175,34535223,	34501861,34502514,34504046,34511606,34515259,34527300,34535347,
EHF	11	+	34642657	34682604	34642657,34664174,34667985,34670565,34673088,34673283,34678454,34680079,34680378,	34642775,34664274,34668231,34670628,34673157,34673352,34678517,34680275,34682604,
APIP	11	-	34903841	34938046	34903841,34904883,34909839,34910298,34912050,34916556,34937774,	34904363,34905051,34909975,34910416,34912099,34916657,34938046,
PDHX	11	+	34938118	35017518	34938118,34952950,34969052,34978930,34981966,34988186,34991685,34999670,35006116,35013861,35016460,	34938362,34953031,34969153,34979130,34982065,34988361,34991833,34999729,35006275,35013926,35017518,
AL356215.1	11	-	35150090	35150215	35150090,35150190,	35150095,35150215,
CD44	11	+	35160727	35251574	35160727,35198121,35201820,35208378,35211381,35218292,35219667,35222628,35223217,35226058,35227658,35229651,35231511,35232792,35236398,35240862,35243200,35250675,	35160917,35198287,35201954,35208447,35211612,35218421,35219793,35222742,35223334,35226187,35227790,35229753,35231601,35232996,35236461,35240934,35243279,35251574,
SLC1A2	11	-	35272752	35440796	35272752,35287073,35302413,35308303,35313833,35323065,35327620,35333744,35336569,35338923,35440496,	35282512,35287305,35302548,35308498,35314067,35323192,35327789,35333995,35336722,35339063,35440796,
PAMR1	11	-	35453369	35547579	35453369,35453797,35456059,35457450,35461174,35463028,35489548,35492148,35496177,35513592,35515643,35547060,	35453796,35454440,35456352,35457683,35461241,35463241,35489656,35492366,35496292,35513721,35515820,35547579,
FJX1	11	+	35639966	35642416	35639966,	35642416,
TRIM44	11	+	35684352	35839557	35684352,35706806,35747471,35756973,35827907,	35685328,35706884,35747711,35756993,35839557,
LDLRAD3	11	+	35965627	36253686	35965627,36057652,36103202,36119876,36248634,36250709,	35965694,36057799,36103328,36120011,36248980,36253686,
COMMD9	11	-	36293841	36310979	36293841,36297686,36298638,36300026,36302261,36310911,	36296322,36297790,36298673,36300166,36302387,36310979,
PRR5L	11	+	36317837	36485194	36317837,36422546,36424847,36440804,36453402,36458934,36467849,36472758,36483891,	36317988,36422835,36424928,36440853,36453460,36459026,36467990,36472885,36485194,
TRAF6	11	-	36508576	36531822	36508576,36514100,36516525,36518657,36520039,36522769,36531597,	36512200,36514178,36516597,36518816,36520190,36523087,36531822,
RAG1	11	+	36589574	36601306	36589574,36594840,	36589672,36601306,
RAG2	11	-	36613492	36619786	36613492,36619651,	36615745,36619786,
C11orf74	11	+	36616042	36680840	36616042,36631630,36654833,36657600,36669565,36680568,	36616311,36631789,36654988,36657667,36669705,36680840,
LRRC4C	11	-	40135842	41481135	40135842,40162350,40263068,40341177,40669691,40955184,41480980,	40137884,40162403,40263148,40341271,40669828,40955273,41481135,
API5	11	+	43333552	43366079	43333552,43340189,43342370,43342960,43343534,43344979,43348056,43349338,43350261,43351514,43352057,43356827,43357407,43363982,	43333746,43340351,43342464,43343026,43343686,43345186,43348161,43349428,43350443,43351608,43352114,43356904,43357544,43366079,
TTC17	11	+	43380490	43516483	43380490,43400782,43411201,43413014,43413370,43418258,43418896,43419523,43421437,43422995,43425547,43427063,43427335,43428687,43428902,43436139,43464874,43465605,43469551,43471631,43472731,43511788,43513569,43515322,	43380663,43400872,43411371,43413126,43413502,43418368,43419041,43419663,43421598,43423108,43425694,43427179,43427501,43428765,43429127,43436326,43465134,43465759,43469672,43471791,43472815,43511908,43513713,43516483,
HSD17B12	11	+	43702258	43878160	43702258,43772460,43775595,43819869,43836986,43837896,43852525,43859866,43861548,43876264,43876693,	43702537,43772507,43775671,43819977,43837051,43837941,43852560,43859948,43861614,43876414,43878160,
ALKBH3	11	+	43902388	43941762	43902388,43904132,43904634,43905532,43908155,43911274,43913590,43923065,43940587,43941467,	43902729,43904281,43904738,43905567,43908203,43911378,43913679,43923275,43940686,43941762,
C11orf96	11	+	43964139	43965433	43964139,	43965433,
ACCSL	11	+	44069530	44081527	44069530,44071611,44072101,44072884,44073202,44074211,44074540,44074955,44076751,44077589,44077734,44079866,44080095,44081387,	44070090,44071671,44072172,44072954,44073269,44074309,44074618,44075056,44076841,44077635,44077876,44080009,44080249,44081527,
ACCS	11	+	44087817	44105764	44087817,44089177,44092805,44094996,44096161,44097075,44098828,44099394,44100233,44101080,44102569,44102728,44104718,44104973,44105244,	44088251,44089465,44092865,44095067,44096231,44097142,44098926,44099472,44100334,44101170,44102615,44102870,44104861,44105127,44105764,
EXT2	11	+	44117098	44266482	44117098,44129232,44130743,44135734,44146338,44148365,44151594,44193160,44219378,44228342,44253902,44255664,44257842,44265698,	44117402,44129798,44130833,44135851,44146534,44148505,44151688,44193292,44219568,44228509,44254046,44255793,44257925,44266482,
ALX4	11	-	44281993	44331716	44281993,44289043,44296897,44331146,	44286733,44289172,44297208,44331716,
CD82	11	+	44587140	44641913	44587140,44609024,44616192,44621707,44626607,44626904,44636821,44639711,44640189,44640598,	44587286,44609106,44616275,44621780,44626732,44626979,44636923,44639915,44640273,44641913,
TSPAN18	11	+	44748661	44952883	44748661,44785975,44881878,44927957,44931255,44939522,44940764,44941367,44948224,44950681,	44748837,44786062,44882020,44928030,44931450,44939597,44940863,44941550,44948308,44952883,
TP53I11	11	-	44953898	44972396	44953898,44957111,44958353,44958854,44959105,44959757,44962553,44972227,	44956568,44957213,44958450,44958903,44959164,44959917,44962628,44972396,
PRDM11	11	+	45168893	45246638	45168893,45203311,45203796,45204411,45226261,45241120,45245767,	45169132,45203436,45203900,45204674,45226329,45241308,45246638,
SYT13	11	-	45261851	45307870	45261851,45267933,45273971,45275820,45277216,45307575,	45265907,45268063,45274273,45275955,45277442,45307870,
CHST1	11	-	45670426	45687172	45670426,45673542,45674070,45686727,	45672515,45673640,45674156,45687172,
SLC35C1	11	+	45825956	45834566	45825956,45832326,	45827887,45834566,
